City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,lae,-6.7221,146.9847,24.24,73,96,2.8,PG,1724279587
303,diapaga,12.0708,1.7889,24.13,85,87,1.34,BF,1724279589
304,lago da pedra,-4.3333,-45.1667,29.63,35,0,2.27,BR,1724279591
305,boyolangu,-8.1181,111.8935,21.09,97,100,1.29,ID,1724279592
306,vorkuta,67.5,64.0,7.39,95,100,3.36,RU,1724279593
307,champerico,14.3,-91.9167,30.0,71,7,3.4,GT,1724279595
308,constantia,44.1833,28.65,22.61,73,34,3.69,RO,1724279567
309,puerto aysen,-45.4,-72.7,4.63,99,100,0.71,CL,1724279525
310,keflavik,64.0049,-22.5624,8.24,76,0,8.75,IS,1724279598
311,itapuranga,-15.5622,-49.9486,25.73,19,0,1.15,BR,1724279600
312,kavaratti,10.5669,72.642,26.41,86,100,10.03,IN,1724279601
313,masvingo,-20.0637,30.8277,13.27,48,0,1.54,ZW,1724279602
314,bacchus marsh,-37.6727,144.4383,12.53,73,80,2.9,AU,1724279603
315,pacific grove,36.6177,-121.9166,21.88,83,0,5.14,US,1724279604
316,north bend,43.4065,-124.2243,24.58,68,40,5.14,US,1724279606
317,ancud,-41.8697,-73.8203,5.7,79,86,1.06,CL,1724279608
318,coari,-4.085,-63.1414,29.63,33,24,0.9,BR,1724279609
319,dzhambeyty,50.2536,52.595,18.35,47,4,3.11,KZ,1724279610
320,tucuma,-0.1833,-50.05,27.01,80,0,4.76,BR,1724279612
321,port lincoln,-34.7333,135.8667,12.58,83,25,2.97,AU,1724279613
322,jacmel,18.2342,-72.5347,28.3,77,24,1.77,HT,1724279614
323,timbuktu,16.7735,-3.0074,34.0,41,100,4.45,ML,1724279615
324,piton saint-leu,-21.2196,55.3151,19.06,60,0,10.8,RE,1724279616
325,ulladulla,-35.35,150.4667,17.03,49,100,3.52,AU,1724279618
326,cedeira,43.6797,-8.0209,17.76,100,21,5.51,ES,1724279619
327,klyuchi,52.2667,79.1667,18.2,57,100,1.35,RU,1724279620
328,naberera,-4.2,36.9333,14.73,88,65,3.86,TZ,1724279621
329,nassjo,57.6531,14.6968,8.51,98,8,2.32,SE,1724279623
330,hirara,24.8,125.2833,28.15,94,20,4.12,JP,1724279624
331,yanbu,24.0891,38.0637,33.02,75,0,3.09,SA,1724279625
332,vanino,49.0869,140.2543,17.9,73,100,0.94,RU,1724279626
333,hithadhoo,-0.6,73.0833,28.33,76,100,4.16,MV,1724279628
334,fort st. john,56.2499,-120.8529,12.94,67,100,5.14,CA,1724279404
335,hankasalmi,62.3833,26.4333,14.95,75,10,3.56,FI,1724279630
336,lazaro cardenas,17.9583,-102.2,30.61,66,9,5.21,MX,1724279631
